94;Сан-Мигель-де-Тукуман,СанМигельдеТукуман,Сан Мигель де Тукуман;{"name":"Сан-Мигель-де-Тукуман","lat":-26.82414,"lon":-65.2226,"country":"AR","timezone":"America/Argentina/Tucuman","population":781023,"capital":"false","continent":"America"}
95;Сан-Мартин;{"name":"Сан-Мартин","lat":-33.08103,"lon":-68.46814,"country":"AR","timezone":"America/Argentina/Mendoza","population":82549 ,"capital":"false" ,"continent":"America"}
96;Сан-Луис,СанЛуис,Сан Луис;{"name":"Сан-Луис","lat":-2.52972,"lon":-44.30278,"country":"BR","timezone":"America/Fortaleza","population":917237,"capital":"false","continent":"America"}
97;Сан-Хуан,СанХуан,Сан Хуан;{"name":"Сан-Хуан","lat":-31.5375,"lon":-68.53639,"country":"AR","timezone":"America/Argentina/San_Juan","population":447048,"capital":"false","continent":"America"}
98;Сан-Франциско;{"name":"Сан-Франциско","lat":-31.42797,"lon":-62.08266,"country":"AR","timezone":"America/Argentina/Cordoba","population":59062 ,"capital":"false" ,"continent":"America"}
99;Сан-Фернандо-дель-Валье-де-Катамарка,СанФернандодельВальедеКатамарка,Сан Фернандо дель Валье де Катамарка;{"name":"Сан-Фернандо-дель-Валье-де-Катамарка","lat":-28.46957,"lon":-65.78524,"country":"AR","timezone":"America/Argentina/Catamarca","population":188812,"capital":"false","continent":"America"}
100;Сальта;{"name":"Сальта","lat":-24.7859,"lon":-65.41166,"country":"AR","timezone":"America/Argentina/Salta","population":512686,"capital":"false","continent":"America"}
101;Росарио;{"name":"Росарио","lat":-32.94682,"lon":-60.63932,"country":"AR","timezone":"America/Argentina/Cordoba","population":1173533,"capital":"false","continent":"America"}
102;Рио Терсеро;{"name":"Рио Терсеро","lat":-32.17301,"lon":-64.11405,"country":"AR","timezone":"America/Argentina/Cordoba","population":53389 ,"capital":"false" ,"continent":"America"}
103;Рио-Гальегос,РиоГальегос,Рио Гальегос;{"name":"Рио-Гальегос","lat":-51.62261,"lon":-69.21813,"country":"AR","timezone":"America/Argentina/Rio_Gallegos","population":85700,"capital":"false","continent":"America"}
104;Рио-Куарто,РиоКуарто,Рио Куарто;{"name":"Рио-Куарто","lat":-33.13067,"lon":-64.34992,"country":"AR","timezone":"America/Argentina/Cordoba","population":153757,"capital":"false","continent":"America"}
105;Рафаэла;{"name":"Рафаэла","lat":-31.25033,"lon":-61.4867,"country":"AR","timezone":"America/Argentina/Cordoba","population":88713,"capital":"false","continent":"America"}
106;Пунта-Альта,ПунтаАльта,Пунта Альта;{"name":"Пунта-Альта","lat":-38.87588,"lon":-62.07359,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":57209,"capital":"false","continent":"America"}
107;Пуэрто-Мадрин,ПуэртоМадрин,Пуэрто Мадрин;{"name":"Пуэрто-Мадрин","lat":-42.7692,"lon":-65.03851,"country":"AR","timezone":"America/Argentina/Catamarca","population":64555,"capital":"false","continent":"America"}
108;Пресиденсия Роке Саэнс Пенья;{"name":"Пресиденсия Роке Саэнс Пенья","lat":-26.78522,"lon":-60.43876,"country":"AR","timezone":"America/Argentina/Cordoba","population":81879 ,"capital":"false" ,"continent":"America"}
109;Пергамино;{"name":"Пергамино","lat":-33.88995,"lon":-60.57357,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":87652,"capital":"false","continent":"America"}
110;Парана;{"name":"Парана","lat":-31.73197,"lon":-60.5238,"country":"AR","timezone":"America/Argentina/Cordoba","population":262295,"capital":"false","continent":"America"}
111;Олаваррия;{"name":"Олаваррия","lat":-36.89272,"lon":-60.32254,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":86320,"capital":"false","continent":"America"}
112;Мендоса;{"name":"Мендоса","lat":-32.89084,"lon":-68.82717,"country":"AR","timezone":"America/Argentina/Mendoza","population":876884,"capital":"false","continent":"America"}
113;Ла-Риоха,ЛаРиоха,Ла Риоха;{"name":"Ла-Риоха","lat":-29.41105,"lon":-66.85067,"country":"AR","timezone":"America/Argentina/La_Rioja","population":162620,"capital":"false","continent":"America"}
114;Хунин;{"name":"Хунин","lat":-34.58382,"lon":-60.94332,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":85007 ,"capital":"false" ,"continent":"America"}
115;Гобернадор Гальвес;{"name":"Гобернадор Гальвес","lat":-33.03016,"lon":-60.64045,"country":"AR","timezone":"America/Argentina/Cordoba","population":74650 ,"capital":"false" ,"continent":"America"}
116;Хенераль;{"name":"Хенераль","lat":-39.03333,"lon":-67.58333,"country":"AR","timezone":"America/Argentina/Salta","population":73212,"capital":"false","continent":"America"}
117;Хенераль-Пико;{"name":"Хенераль-Пико","lat":-35.65662,"lon":-63.75682,"country":"AR","timezone":"America/Argentina/Salta","population":57029 ,"capital":"false" ,"continent":"America"}
118;Кордова;{"name":"Кордова","lat":-31.4135,"lon":-64.18105,"country":"AR","timezone":"America/Argentina/Cordoba","population":1428214,"capital":"false","continent":"America"}
119;Комодоро-Ривадавия,КомодороРивадавия,Комодоро Ривадавия;{"name":"Комодоро-Ривадавия","lat":-45.86413,"lon":-67.49656,"country":"AR","timezone":"America/Argentina/Catamarca","population":140850,"capital":"false","continent":"America"}
120;Чиполлетти;{"name":"Чиполлетти","lat":-38.93392,"lon":-67.99032,"country":"AR","timezone":"America/Argentina/Salta","population":75078,"capital":"false","continent":"America"}
121;Чивилькой;{"name":"Чивилькой","lat":-34.89566,"lon":-60.01667,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":54514 ,"capital":"false" ,"continent":"America"}
122;Чимбас;{"name":"Чимбас","lat":-31.48333,"lon":-68.53333,"country":"AR","timezone":"America/Argentina/San_Juan","population":73829,"capital":"false","continent":"America"}
123;Байя-Бланка,Баия-Бланка,БайяБланка,БаияБланка,Байя Бланка,Баия Бланка;{"name":"Байя-Бланка","lat":-38.71959,"lon":-62.27243,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":276546,"capital":"false","continent":"America"}
124;Вилья Мерседес;{"name":"Вилья Мерседес","lat":-33.67571,"lon":-65.45783,"country":"AR","timezone":"America/Argentina/San_Luis","population":96781 ,"capital":"false" ,"continent":"America"}
125;Сан Карлос де Барилоче,Сан-Карлос-де-Барилоче,СанКарлосдеБарилоче;{"name":"Сан Карлос де Барилоче","lat":-41.14557,"lon":-71.30822,"country":"AR","timezone":"America/Argentina/Salta","population":95394,"capital":"false","continent":"America"}
126;Вена;{"name":"Вена","lat":48.20849,"lon":16.37208,"country":"AT","timezone":"Europe/Vienna","population":1691468,"capital":"true","continent":"Europe"}
127;Вельс;{"name":"Вельс","lat":48.16667,"lon":14.03333,"country":"AT","timezone":"Europe/Vienna","population":57946,"capital":"false","continent":"Europe"}
128;Филлах;{"name":"Филлах","lat":46.61028,"lon":13.85583,"country":"AT","timezone":"Europe/Vienna","population":58882,"capital":"false","continent":"Europe"}
129;Зальцбург;{"name":"Зальцбург","lat":47.79941,"lon":13.04399,"country":"AT","timezone":"Europe/Vienna","population":150269,"capital":"false","continent":"Europe"}
130;Линц;{"name":"Линц","lat":48.30639,"lon":14.28611,"country":"AT","timezone":"Europe/Vienna","population":181162,"capital":"false","continent":"Europe"}
131;Клагенфурт;{"name":"Клагенфурт","lat":46.62472,"lon":14.30528,"country":"AT","timezone":"Europe/Vienna","population":90610,"capital":"false","continent":"Europe"}
132;Инсбрук;{"name":"Инсбрук","lat":47.26266,"lon":11.39454,"country":"AT","timezone":"Europe/Vienna","population":112467,"capital":"false","continent":"Europe"}
133;Грац;{"name":"Грац","lat":47.06667,"lon":15.45,"country":"AT","timezone":"Europe/Vienna","population":222326,"capital":"false","continent":"Europe"}
134;Рокингем;{"name":"Рокингем","lat":-32.27682,"lon":115.72978,"country":"AU","timezone":"Australia/Perth","population":108022 ,"capital":"false" ,"continent":"Australia"}
135;Перт;{"name":"Перт","lat":-31.95224,"lon":115.8614,"country":"AU","timezone":"Australia/Perth","population":1896548,"capital":"false","continent":"Australia"}
136;Мандъюра,Манджера;{"name":"Мандъюра","lat":-32.5269,"lon":115.7217,"country":"AU","timezone":"Australia/Perth","population":83294,"capital":"false","continent":"Australia"}
137;Дарвин;{"name":"Дарвин","lat":-12.46113,"lon":130.84184,"country":"AU","timezone":"Australia/Darwin","population":129062,"capital":"false","continent":"Australia"}
138;Банбери;{"name":"Банбери","lat":-33.32711,"lon":115.64137,"country":"AU","timezone":"Australia/Perth","population":68248,"capital":"false","continent":"Australia"}
139;Армадейл;{"name":"Армадейл","lat":-32.14607,"lon":116.0093,"country":"AU","timezone":"Australia/Perth","population":62296,"capital":"false","continent":"Australia"}
140;Аделаида;{"name":"Аделаида","lat":-34.92866,"lon":138.59863,"country":"AU","timezone":"Australia/Adelaide","population":1225235,"capital":"false","continent":"Australia"}
141;Таунсвилл;{"name":"Таунсвилл","lat":-19.26639,"lon":146.8057,"country":"AU","timezone":"Australia/Brisbane","population":196219,"capital":"false","continent":"Australia"}
142;Тувумба;{"name":"Тувумба","lat":-27.56056,"lon":151.95386,"country":"AU","timezone":"Australia/Brisbane","population":131258,"capital":"false","continent":"Australia"}
143;Сидней;{"name":"Сидней","lat":-33.86785,"lon":151.20732,"country":"AU","timezone":"Australia/Sydney","population":4627345,"capital":"false","continent":"Australia"}
144;Рокхемптон,Рокгемптон;{"name":"Рокхемптон","lat":-23.38032,"lon":150.50595,"country":"AU","timezone":"Australia/Brisbane","population":61724,"capital":"false","continent":"Australia"}
145;Ньюкасл;{"name":"Ньюкасл","lat":-32.92715,"lon":151.77647,"country":"AU","timezone":"Australia/Sydney","population":308308,"capital":"false","continent":"Australia"}
146;Мельбурн;{"name":"Мельбурн","lat":-37.814,"lon":144.96332,"country":"AU","timezone":"Australia/Melbourne","population":4246375,"capital":"false","continent":"Australia"}
147;Мейтленд,Мэйтленд;{"name":"Мейтленд","lat":-32.73308,"lon":151.5574,"country":"AU","timezone":"Australia/Sydney","population":67132,"capital":"false","continent":"Australia"}
148;Макей,Маккай;{"name":"Макей","lat":-21.15345,"lon":149.16554,"country":"AU","timezone":"Australia/Brisbane","population":74219,"capital":"false","continent":"Australia"}
